article_url,headline,publication_datetime,article_category,number_of_views,article_source
https://www.qalampir.uz/news/lavrov-ukraina-%D2%B3ukumatini-khalk-aro-tilanchi-ga-chik-ardi-97527,Лавров Украина ҳукуматини “халқаро тиланчи”га чиқарди,2024-02-17,Олам,9102,Qalampir.uz
https://www.qalampir.uz/news/naval-niyning-onasiga-uglining-zhasadi-berilmadi-97526,Навальнийнинг онасига ўғлининг жасади берилмади,2024-02-17,Олам,12227,Qalampir.uz
https://www.qalampir.uz/news/k-amok-k-a-olingan-zhangchi-va-chak-mok-urgan-futbolchi-sport-dayzhesti-97525,Қамоққа олинган жангчи ва чақмоқ урган футболчи – Спорт дайжести,2024-02-17,Таҳлил,3706,Qalampir.uz
https://www.qalampir.uz/news/30-yeshli-erkak-uzining-12-k-arindoshini-uldirdi-97523,30 ёшли эркак ўзининг 12 қариндошини ўлдирди,2024-02-17,Олам,37473,Qalampir.uz
https://www.qalampir.uz/news/zhizzakhda-bogcha-bolasi-vafot-etdi-97524,Жиззахда боғча боласи вафот этди,2024-02-17,Криминал,12675,Qalampir.uz
https://www.qalampir.uz/news/ramzan-k-odirovning-18-yeshli-erkatoyi-vazir-buldi-97522,Рамзан Қодировнинг 18 ёшли эркатойи вазир бўлди,2024-02-17,Олам,15565,Qalampir.uz
https://www.qalampir.uz/news/tashkent-index-dagi-naves-lar-bir-nechta-avtomashina-ustiga-k-ulab-tushdi-video-97521,“Tashkent Index”даги “навес”лар бир нечта автомашина устига қулаб тушди (видео),2024-02-17,Жамият,7460,Qalampir.uz
https://www.qalampir.uz/news/khorazm-mibga-yangi-boshlik-tayinlandi-97520,Хоразм МИБга янги бошлиқ тайинланди,2024-02-17,Жамият,5608,Qalampir.uz
https://www.qalampir.uz/news/%D2%B3arris-naval-niyning-bevasi-bilan-uchrashdi-97519,Ҳаррис Навальнийнинг беваси билан учрашди,2024-02-17,Олам,9569,Qalampir.uz
https://www.qalampir.uz/news/toshkent-viloyatidagi-metan-zapravka-da-zhiguli-yenib-ketdi-97518,Тошкент вилоятидаги метан “заправка”да “Жигули” ёниб кетди,2024-02-17,Криминал,4460,Qalampir.uz
https://www.qalampir.uz/news/naval-niyning-onasi-ugli-vafot-etgan-k-amok-khonaga-bordi-97517,Навальнийнинг онаси ўғли вафот этган қамоқхонага борди,2024-02-17,Олам,9213,Qalampir.uz
